Reg nr,Kandidaat,Kokku,Hääled välisriigist,E-hääled
969,Jüri Võigemast,80,0,26
977,Viive Rosenberg,67,0,14
974,Aivar Roop,33,0,17
976,Erki Tammleht,11,0,4
1052,Julia Sommer,83,1,31
1097,Jüri Luik,4806,14,2640
1100,Heiki Hepner,962,3,449
1101,Mari-Ann Kelam,745,2,407
1098,Toomas Tõniste,479,1,224
1099,Kalle Muuli,431,0,233
1113,Tanel Ots,409,0,207
1103,Arvi Karotam,407,1,172
1102,Andres Laisk,396,1,206
1105,Gerli Lehe,277,0,180
1108,Villu Karu,266,1,104
1104,Kaupo Rätsepp,258,0,149
1106,Andres Kaarmann,218,1,112
1111,Leemet Vaikmaa,137,0,64
1107,Priit Põldmäe,110,0,54
1110,Mart Rannut,77,0,36
1112,Madis Kübar,76,0,45
1109,Ann Räämet,40,0,22
1187,Risto Nahkor,108,0,36
1198,Kaido Kookmaa,29,0,13
1188,Vello Kookmaa,28,0,11
155,Tiina Kangro,366,0,193
157,Elge Härma,89,0,39
160,Egon Erkmann,75,0,39
159,Anne Kiider,67,0,29
156,Mikko Nõukas,16,0,9
162,Janek Ostra,12,0,9
158,Olev Vaher,10,0,2
161,Janus Tuur,9,0,4
280,Kalle Laanet,3344,5,1825
281,Urve Tiidus,2617,13,1545
282,Aivar Viidik,893,1,583
283,Jaanus Ratas,824,2,392
285,Maire Forsel,460,3,327
284,Heiki Kranich,390,5,273
287,Tiiu Aro,331,2,174
286,Jaanus Müür,291,1,191
412,Aleksei Lotman,320,1,199
405,Rasmus Lahtvee,100,3,49
407,Loore Härmat,72,0,29
410,Steve Truumets,39,1,29
408,Kristen Kannik,35,0,24
409,Merike Kurvits,25,0,11
411,Krissika Kast,25,0,12
406,Maret Merisaar,23,0,11
531,Reili Rand,918,1,515
530,Madis Kallas,812,2,419
532,Neeme Suur,640,0,270
537,Heiki Hanso,355,1,189
533,Kairit Lindmäe,249,1,128
536,Hergo Tasuja,208,0,106
535,Silvi Teesalu,141,2,50
534,Kaido Sipelgas,91,1,54
635,Kaupo Vipp,198,1,106
636,Enn Kaljo,40,0,16
640,Sirkka Pintmann,32,0,18
639,Silja Reemet,31,0,15
638,Märt Randoja,30,0,21
637,Enri Pahapill,19,0,12
728,Helle-Moonika Helme,3202,29,1084
729,Jaen Teär,1124,6,377
730,Hardi Rehkalt,722,8,218
731,Agnes Pulk,653,3,207
735,Daniel Mereäär,442,4,148
733,Toomas Vallimäe,367,2,139
734,Martin Judanov,231,2,74
732,Ille Palusalu,153,1,71
853,Koit Kelder,903,1,496
854,Toomas Kasemaa,163,0,92
860,Keith Siilats,89,0,56
855,Jaanika Roosman,85,0,40
856,Lars Uus,50,0,27
857,Anu Uibo,49,0,24
858,Martin Vahimets,35,0,23
859,Andri Simo,30,0,21
978,Enn Eesmaa,1805,6,481
979,Jaanus Karilaid,1661,1,470
980,Mihkel Undrest,1024,3,296
981,Antti Leigri,427,0,159
982,Rea Raus,303,2,115
984,Maire Käärid,258,0,93
983,Aivar Aru,149,0,46
985,Üllar Neemrand,109,0,27
1053,Diana Koor,13,0,2
1114,Raivo Aeg,1451,11,691
1115,Mart Maastik,523,2,240
1119,Anti Toplaan,473,3,203
1117,Kaido Kaasik,372,1,172
1118,Toomas Schmidt,221,1,108
1116,Georg Linkov,141,0,77
1120,Tiit Harjak,90,0,55
1121,Tõnu Munk,76,0,27
1189,Harry Raudvere,406,0,128
163,Pavo Raudsepp,87,0,31
164,Piret Pihel,37,0,11
166,Rein Kotšin,21,0,6
168,Ave Pütsepp,15,0,6
165,Koit Kuusk,12,0,4
167,Marje Salve,8,0,5
169,Veana Heinmets,5,0,2
288,Taavi Rõivas,2847,8,1415
294,Marko Torm,1298,0,718
291,Katrin Kuusemäe,640,2,387
290,Mati Raidma,617,1,363
289,Indrek Kesküla,547,2,283
293,Riho Tell,228,0,111
292,Leo Aadel,219,1,126
413,Andres Jaadla,106,0,41
415,Jaanus Nurmoja,51,0,30
419,Reigo Lehtla,42,1,29
416,Riina Odnenko,40,0,13
417,Aare Veedla,30,0,14
414,Allan Jaakus,27,1,11
418,Veera Kostina,14,0,2
538,Indrek Saar,1332,4,648
539,Ene Augasmägi,329,2,148
543,Kairit Pihlak,201,1,114
541,Kelly Konetski-Ramul,178,1,98
540,Eerik Lumiste,163,0,66
542,Margus Punane,142,0,58
544,Garri Raagmaa,83,2,47
641,Lauri Klein,116,0,73
642,Cornelia Kotto,46,0,26
643,Jüri-Illimar Reinberg-Šestakov,13,0,7
736,Anti Poolamets,3335,42,1050
738,Aarne Mäe,818,7,325
737,Marti Kuusik,657,6,219
740,Tanel Tarkmees,317,3,125
742,Leo Bergström,291,3,111
739,Uno Trumm,229,1,72
741,Aigar Põder,121,3,47
861,Annes Naan,310,0,163
862,Elmu Koppelmann,145,0,66
864,Madis Viise,91,0,44
863,Marko Teiva,80,0,41
866,Triin Sihver,80,1,37
867,Tarmo Tamm,75,0,33
865,Ahto Neidek,47,0,32
986,Siret Kotka-Repinski,2095,3,434
992,Toomas Väinaste,930,0,259
988,Triin Varek,912,2,265
987,Maksim Butšenkov,465,2,82
990,Jelena Fjodorova,396,1,96
991,Hans Kruusamägi,306,1,114
989,Jaan Männik,267,1,89
1054,Andrei Anissimov,12,0,5
1123,Üllar Saaremäe,2023,2,834
1122,Marko Pomerants,1989,2,1004
1128,Einar Vallbaum,423,1,166
1127,Tõnis Pruler,401,1,198
1126,Alari Kirt,313,0,181
1125,Mihkel Juhkami,177,0,96
1124,Tamara Vahtra-Aasmets,135,0,68
170,Jane Snaith,50,0,12
172,Karina Küppas,43,0,7
171,Sirje Pallo,22,1,3
178,Inna Rose,11,0,6
175,Deniss Tištšenko,8,0,2
177,Lidia Rettijeva,6,0,1
174,Mulje Kullerkup,5,0,2
176,Asko Sirp,3,0,1
173,Ando Kuura,1,0,0
295,Eerik-Niiles Kross,1110,1,601
297,Aivar Surva,880,1,438
296,Maris Toomel,448,1,283
300,Andrea Eiche,416,0,182
298,Sergei Gorlatš,279,0,82
302,Toomas Nõmmiste,268,0,144
303,Priit Palmet,211,1,117
299,Merike Peri,91,0,40
301,Olesja Ojamäe,66,0,28
420,Timur Sagitov,77,0,31
428,Märt Põder,44,0,28
421,Olga Gudkova,32,0,12
426,Darja Vorontsova,13,0,4
425,Anette-Marlen Ott,13,1,8
422,Roman Mutonen,9,0,3
424,Aleksei Nehoroškin,7,0,2
427,Leonid Mironov,5,0,1
423,Eleonora Loginova,4,1,2
545,Katri Raik,2112,5,690
546,Eduard Odinets,573,0,248
547,Maksim Iljin,369,0,91
548,Anton Pratkunas,271,0,81
551,Ants Kutti,211,0,77
553,Etti Kagarov,181,0,85
550,Sergei Solovjov,107,1,36
549,Tatjana Olesk,98,0,31
552,Pavel Prokopenko,86,0,38
644,Kaja Toikka,95,1,36
645,Ago Samoson,11,0,10
744,Riho Breivel,979,9,350
743,Kersti Kracht,373,1,144
745,Arvo Aller,283,2,127
746,Kalev Prits,175,1,58
751,Mari-Liis Lillemets,118,1,48
747,Evelin Poolamets,107,1,31
750,Ringo Riives,94,0,43
749,Tiit Raud,74,3,23
748,Andres Piibeleht,31,1,13
868,Ahti Puur,454,0,187
869,Jana Pavlenkova,209,3,94
871,Svetlana Skrebneva,91,0,30
870,Nikita Lumijõe,67,0,30
874,Mihhail Derbnev,60,1,31
876,Jüri Käosaar,51,0,29
873,Darja Berestova,37,0,15
872,Stanislav Tituško,36,0,15
875,Viktor Golubjatnikov,6,0,2
993,Yana Toom,6195,4,929
994,Mihhail Stalnuhhin,2653,4,229
1001,Martin Repinski,976,2,156
997,Dmitri Dmitrijev,943,3,146
995,Valeri Korb,798,0,126
996,Tarmo Tammiste,632,0,114
999,Maksim Volkov,619,0,67
998,Eevi Paasmäe,529,2,116
1000,Eve East,355,0,109
1055,Viktor Malõgin,65,0,13
1131,Marja-Liisa Veiser,448,0,188
1130,Tiit Salvan,382,2,203
1129,Siim Valmar Kiisler,379,0,187
1135,Aivo Tamm,148,0,80
1133,Artur Põld,135,0,44
1136,Arno Strauch,119,0,42
1137,Janek Raik,81,0,30
1132,Andres Noormägi,42,0,17
1134,Valentina Gurova,33,0,8
180,Arlet Palmiste,101,1,53
179,Ain Ostra,68,0,23
181,Mari-Liis Tahker,28,0,12
183,Ain Auksimäe,21,0,8
185,Olev Rahnu,20,0,2
182,Jürmo Sillaste,15,0,7
184,Heiki Rips,12,0,6
187,Margus Sardis,10,0,5
186,Hanno Kirschfeldt,6,0,3
304,Jürgen Ligi,6069,14,3295
305,Yoko Alender,997,5,600
307,Rait Pihelgas,593,1,326
312,Taimo Tugi,459,0,236
308,Tõnu Juul,422,1,166
306,Madis Timpson,413,1,221
310,Sulev Kannimäe,371,0,177
309,Mati Sadam,296,0,163
311,Tarmo Alt,157,0,94
429,Hannes Puu,129,2,48
432,Heli Kuuse,97,1,56
437,Elo-Maria Roots,45,0,24
431,Kristjan Rohtla,42,0,24
430,Arvi Tapver,20,0,11
435,Erko Elmik,16,0,6
434,Tiina Rammul,13,0,4
433,Eveli Permanson,11,0,8
436,Jüri-Joonas Kerem,4,0,3
554,Helmen Kütt,2194,5,761
557,Lauri Läänemets,994,1,488
558,Juhan-Mart Salumäe,509,0,307
555,Siret Pihelgas,421,1,199
556,Piret Aus,241,3,143
559,Külvar Mand,156,2,74
562,Tonio Tamra,66,0,25
561,Kaarel Orumägi,60,0,23
560,Tambet Sova,41,0,22
650,Ülle Kuldkepp,101,0,43
646,Riina Eigi,80,1,41
647,Janica Sepp,60,2,30
649,Priit-Kalev Parts,57,0,35
648,Peep Tobreluts,52,0,30
752,Jaak Madison,5612,57,1788
753,Kalle Grünthal,740,5,210
754,Rein Suurkask,456,1,156
756,Enn Sarv,441,3,147
757,Heli Koit,436,0,163
755,Medi Meikar,287,3,124
760,Priit Jürjens,190,2,58
758,Tarmo Hints,122,4,35
759,Ando Tulvik,105,0,51
877,Ruslan Trochynskyi,384,1,207
879,Kalle Kallas,148,0,66
878,Angelika Naris,113,2,58
885,Krister Kallas,97,0,53
881,Raul Alliksaar,97,0,48
880,Marju Mäger,89,0,54
884,Lauri Vaiksaar,72,0,44
883,Tatjana Jürgen,43,0,27
882,Tiia Piirimees,17,0,4
1002,Jaak Aab,2227,0,562
1003,Kersti Sarapuu,1394,1,313
1004,Peeter Rahnel,1019,1,267
1010,Helmut Hallemaa,700,1,128
1005,Getter Klaas,245,0,92
1008,Heidy Tamme,236,1,69
1007,Raivo Matsina,215,0,47
1006,Karl Õmblus,158,0,48
1009,Aado Oherd,59,0,23
1056,Diana Nõmberg-Klaus,13,1,6
1138,Helir-Valdor Seeder,3138,8,1414
1139,Kaia Iva,1526,5,712
1141,Alar Karu,531,0,234
1140,Priit Värk,341,5,150
1145,Valter Vaha,170,1,76
1142,Jüri Ellram,160,0,74
1146,Hermann Kalmus,144,0,54
1143,Janika Gedvil,132,1,79
1144,Kaspar Kaarjas,34,0,19
1186,Jüri Malsub,90,0,38
188,Elo Lutsepp,207,1,88
189,Märt Läänemets,84,0,44
196,Märt Meesak,76,0,31
192,Kaido Väljaots,62,0,29
191,Katrin Hauk,38,0,17
190,Urmas Heinaste,36,0,22
195,Elar Ploomipuu,33,0,15
193,Tiit Urva,18,0,5
194,Tauno Kure,17,0,6
313,Urmas Kruuse,5398,8,2973
314,Valdo Randpere,2079,1,1206
315,Toomas Järveoja,1494,2,837
321,Erkki Keldo,722,0,401
317,Raivo Meitus,510,0,276
319,Illari Lään,388,1,255
318,Aivar Saarela,293,0,151
316,Ülvi Nool-Kõre,287,0,196
320,Merili Ranniste,228,2,129
